week,gameId,playId,nflId,displayName,position,frameId,teamAbbr,quarter,down,yardsToGo,yardlineNumber,yards_to_EZ,gameClock,time_to_snap,standard_x,standard_y,standard_dir,standard_o,s,dis,a,wasInitialPassRusher,pred
1,2022091200,85,42403,Randy Gregory,OLB,93,DEN,1,2,10,30,30,14:17:00,2.3999998569488525,1.6699992370604946,5.7999999237061,305.12,213.74,0.08,0.01,0.37,1,0.7651571218160957
1,2022091200,85,42403,Randy Gregory,OLB,94,DEN,1,2,10,30,30,14:17:00,2.299999952316284,1.6599992370604966,5.7999999237061,300.95,212.03,0.09,0.01,0.26,1,0.764885269161344
1,2022091200,85,42403,Randy Gregory,OLB,95,DEN,1,2,10,30,30,14:17:00,2.1999998092651367,1.6699992370604946,5.809999923706101,358.1,212.03,0.08,0.01,0.05,1,0.7748180735057143
1,2022091200,85,42403,Randy Gregory,OLB,96,DEN,1,2,10,30,30,14:17:00,2.0999999046325684,1.6599992370604966,5.809999923706101,332.74,212.03,0.06,0.01,0.03,1,0.771821357133673
1,2022091200,85,42403,Randy Gregory,OLB,97,DEN,1,2,10,30,30,14:17:00,2,1.6599992370604966,5.819999923706099,317.06,212.03,0.05,0,0.08,1,0.7623367138349122
1,2022091200,85,42403,Randy Gregory,OLB,98,DEN,1,2,10,30,30,14:17:00,1.8999998569488523,1.6499992370604986,5.819999923706099,297.88,212.03,0.08,0.01,0.06,1,0.7645391152529758
1,2022091200,85,42403,Randy Gregory,OLB,99,DEN,1,2,10,30,30,14:17:00,1.7999999523162842,1.6399992370605003,5.809999923706101,263.41,215.33,0.1,0.01,0.12,1,0.7571332598259255
1,2022091200,85,42403,Randy Gregory,OLB,100,DEN,1,2,10,30,30,14:17:00,1.6999998092651367,1.6299992370604954,5.819999923706099,282.26,215.33,0.09,0.01,0.05,1,0.762180218615482
1,2022091200,85,42403,Randy Gregory,OLB,101,DEN,1,2,10,30,30,14:17:00,1.5999999046325684,1.6199992370604974,5.819999923706099,282.45,214.24,0.08,0.01,0.01,1,0.7636785590198661
1,2022091200,85,42403,Randy Gregory,OLB,102,DEN,1,2,10,30,30,14:17:00,1.5,1.6199992370604974,5.829999923706101,294.7,214.24,0.06,0,0.07,1,0.7599999297576282
1,2022091200,85,42403,Randy Gregory,OLB,103,DEN,1,2,10,30,30,14:17:00,1.3999998569488523,1.6199992370604974,5.829999923706101,308.61,214.24,0.04,0,0.11,1,0.7633464895165124
1,2022091200,85,42403,Randy Gregory,OLB,104,DEN,1,2,10,30,30,14:17:00,1.2999999523162842,1.6199992370604974,5.839999923706102,6.74,210.02,0.06,0.01,0.19,1,0.7065672529335524
1,2022091200,85,42403,Randy Gregory,OLB,105,DEN,1,2,10,30,30,14:17:00,1.1999998092651367,1.6199992370604974,5.859999923706102,2.43,208.58,0.1,0.01,0.18,1,0.7030079728822127
1,2022091200,85,42403,Randy Gregory,OLB,106,DEN,1,2,10,30,30,14:17:00,1.0999999046325684,1.6199992370604974,5.859999923706102,9.32,206.82,0.09,0.01,0.08,1,0.7050009504040874
1,2022091200,85,42403,Randy Gregory,OLB,107,DEN,1,2,10,30,30,14:17:00,1,1.6199992370604974,5.859999923706102,3.58,205.82,0.04,0.01,0.1,1,0.7063725346107977
1,2022091200,85,42403,Randy Gregory,OLB,108,DEN,1,2,10,30,30,14:17:00,0.8999998569488525,1.6299992370604954,5.859999923706102,73.5,207.45,0.1,0.02,0.28,1,0.7236412654132723
1,2022091200,85,42403,Randy Gregory,OLB,109,DEN,1,2,10,30,30,14:17:00,0.7999999523162842,1.6399992370605003,5.859999923706102,93.34,208.87,0.11,0.01,0.32,1,0.7179864078066778
1,2022091200,85,42403,Randy Gregory,OLB,110,DEN,1,2,10,30,30,14:17:00,0.6999998092651367,1.6699992370604946,5.859999923706102,95.6,208.87,0.21,0.02,0.43,1,0.7157506842935836
1,2022091200,85,42403,Randy Gregory,OLB,111,DEN,1,2,10,30,30,14:17:00,0.5999999046325684,1.6899992370604977,5.859999923706102,98.05,207.96,0.29,0.03,0.5,1,0.7161773774276935
1,2022091200,85,42403,Randy Gregory,OLB,112,DEN,1,2,10,30,30,14:17:00,0.5,1.7199992370604988,5.8499999237061004,101.29,202.84,0.34,0.03,0.42,1,0.7103084064588048
1,2022091200,85,42403,Randy Gregory,OLB,113,DEN,1,2,10,30,30,14:17:00,0.39999985694885254,1.7299992370604969,5.8499999237061004,100.96,204.7,0.23,0.01,0.05,1,0.6995160671337458
1,2022091200,85,42403,Randy Gregory,OLB,114,DEN,1,2,10,30,30,14:17:00,0.2999999523162842,1.7199992370604988,5.8499999237061004,144.45,210.17,0.06,0.01,0.49,1,0.7190535905840052
1,2022091200,85,42403,Randy Gregory,OLB,115,DEN,1,2,10,30,30,14:17:00,0.19999980926513672,1.7099992370604935,5.839999923706102,233.89,210.17,0.09,0.01,0.63,1,0.7371799474807395
1,2022091200,85,42403,Randy Gregory,OLB,116,DEN,1,2,10,30,30,14:17:00,0.09999990463256836,1.6599992370604966,5.839999923706102,268.65,213.36,0.38,0.05,1.13,1,0.761482192555381
